Time,Subject,Content,Medium,Direction
2025-02-09 06:34:19,,"OK, got it!",push,out
2025-02-09 06:34:18,,"OK, got it!",intercom_text,out
2025-02-08 09:32:20,,I've arrived,push,out
2025-02-08 09:32:20,,I've arrived,intercom_text,out
2025-02-08 09:20:48,,"OK, got it!",push,out
2025-02-08 09:20:48,,"OK, got it!",intercom_text,out
2025-02-08 09:13:31,,I've arrived,push,out
2025-02-08 09:13:31,,I've arrived,intercom_text,out
2025-02-08 06:46:28,,"OK, got it!",intercom_text,out
2025-02-08 06:46:28,,"OK, got it!",push,out
2025-02-08 05:15:20,,"OK, got it!",push,out
2025-02-08 05:15:20,,"OK, got it!",intercom_text,out
2025-02-08 05:14:23,,Which side of street?,intercom_text,out
2025-02-08 05:14:23,,Which side of street?,push,out
2025-02-07 09:22:27,,I've arrived,push,out
2025-02-07 09:22:27,,I've arrived,intercom_text,out
2025-02-07 08:46:54,,Im in front,intercom_text,out
2025-02-07 08:46:54,,Im in front,push,out
2025-02-07 08:44:46,,"OK, got it!",intercom_text,out
2025-02-07 08:44:46,,"OK, got it!",push,out
2025-02-07 08:43:10,,Same spot I parked,push,out
2025-02-07 08:43:10,,Same spot I parked,intercom_text,out
2025-02-07 08:23:44,,I've arrived,push,out
2025-02-07 08:23:44,,I've arrived,intercom_text,out
2025-02-07 07:16:54,,"OK, got it!",intercom_text,out
2025-02-07 07:16:54,,"OK, got it!",push,out
2025-02-07 07:15:49,,"OK, got it!",intercom_text,out
2025-02-07 07:15:49,,"OK, got it!",push,out
2025-02-06 10:40:50,,I've arrived,intercom_text,out
2025-02-06 10:40:50,,I've arrived,push,out
2025-02-06 07:56:29,,I've arrived,intercom_text,out
2025-02-06 07:56:29,,I've arrived,push,out
2025-02-06 05:53:46,,"OK, got it!",intercom_text,out
2025-02-06 05:53:46,,"OK, got it!",push,out
2025-02-06 05:53:39,,I've arrived,intercom_text,out
2025-02-06 05:53:39,,I've arrived,push,out
2025-02-06 04:08:00,,I've arrived,intercom_text,out
2025-02-06 04:08:00,,I've arrived,push,out
2025-02-05 10:44:04,,"OK, got it!",push,out
2025-02-05 10:44:04,,"OK, got it!",intercom_text,out
2025-02-05 09:53:20,,"OK, got it!",intercom_text,out
2025-02-05 09:53:20,,"OK, got it!",push,out
2025-02-05 09:53:12,,I've arrived,intercom_text,out
2025-02-05 09:53:12,,I've arrived,push,out
2025-02-05 09:42:10,,I've arrived,push,out
2025-02-05 09:42:10,,I've arrived,intercom_text,out
2025-02-05 09:01:13,,"OK, got it!",push,out
2025-02-05 09:01:13,,"OK, got it!",intercom_text,out
2025-02-05 03:40:10,,I've arrived,push,out
2025-02-05 03:40:10,,I've arrived,intercom_text,out
2025-02-05 03:30:46,,"OK, got it!",intercom_text,out
2025-02-05 03:30:46,,"OK, got it!",push,out
2025-02-05 02:27:44,,"OK, got it!",push,out
2025-02-05 02:27:44,,"OK, got it!",intercom_text,out
2025-02-04 05:30:38,,I've arrived,intercom_text,out
2025-02-04 05:30:38,,I've arrived,push,out
2025-02-04 00:09:37,,"OK, got it!",push,out
2025-02-04 00:09:37,,"OK, got it!",intercom_text,out
2025-02-03 22:42:43,,"OK, got it!",push,out
2025-02-03 22:42:43,,"OK, got it!",intercom_text,out
