Trip Request Time,Create Ticket Time,City,Country,Product Name,Locale,Modality
2025-02-07 08:21:33,2025-02-07 09:03:58,Los Angeles,US,UberX,en_US,chat
"",2025-02-06 13:25:05,Los Angeles,US,,en_US,chat
"",2025-02-06 09:21:52,Los Angeles,US,,en_US,chat
"",2025-02-06 09:09:04,Los Angeles,US,,en_US,chat
"",2025-02-06 02:42:39,Los Angeles,US,,en_US,chat
"",2025-02-06 02:10:36,Los Angeles,US,,en_US,chat
"",2025-02-05 03:19:06,Los Angeles,US,,en_US,chat
"",2025-02-05 01:52:46,Los Angeles,US,,en_US,chat
"",2025-02-04 23:54:01,Los Angeles,US,,en_US,chat
"",2025-02-04 03:43:28,Los Angeles,US,,en_US,chat
"",2025-02-04 02:33:24,Los Angeles,US,,en_US,chat
"",2025-02-03 22:05:12,Los Angeles,US,,en_US,chat
"",2025-02-03 22:00:15,Los Angeles,US,,en_US,chat
"",2025-02-03 20:07:45,Los Angeles,US,,en_US,chat
"",2025-02-03 20:05:00,Los Angeles,US,,en_US,chat
"",2025-02-03 20:04:25,Los Angeles,US,,en_US,chat
"",2025-02-03 19:11:31,Los Angeles,US,,en_US,chat
"",2025-02-03 19:10:32,Los Angeles,US,,en_US,chat
"",2025-02-03 04:54:22,Los Angeles,US,,en_US,chat
"",2025-01-29 14:06:45,Los Angeles,US,,en_US,chat
"",2025-01-26 11:59:22,Los Angeles,US,,en_US,chat
"",2025-01-26 11:59:02,Los Angeles,US,,en_US,chat
"",2025-01-26 11:58:44,Los Angeles,US,,en_US,chat
"",2025-01-26 04:23:37,Los Angeles,US,,en_US,chat
"",2025-01-24 14:14:06,Los Angeles,US,,en_US,chat
"",2025-01-24 04:46:23,Los Angeles,US,,en_US,chat
2025-01-18 09:59:30,2025-01-18 10:15:23,Los Angeles,US,UberX,en_US,chat
"",2025-01-18 07:03:24,Los Angeles,US,,en_US,chat
"",2025-01-18 06:30:15,Los Angeles,US,,en_US,chat
"",2025-01-17 18:02:37,Los Angeles,US,,en_US,messaging
"",2025-01-17 08:50:26,Los Angeles,US,,en_US,chat
"",2025-01-17 08:50:03,Los Angeles,US,,en_US,chat
2025-01-16 12:08:15,2025-01-16 12:21:38,Los Angeles,US,UberEATS Marketplace (delivery),en_US,messaging
2025-01-16 12:08:15,2025-01-16 12:20:50,Los Angeles,US,UberEATS Marketplace (delivery),en_US,chat
"",2025-01-16 08:55:40,Los Angeles,US,,en_US,chat
"",2025-01-16 06:52:33,Los Angeles,US,,en_US,chat
"",2025-01-15 12:51:31,Los Angeles,US,,en_US,chat
"",2025-01-15 02:58:20,Los Angeles,US,,en_US,chat
"",2025-01-15 02:41:54,Los Angeles,US,,en_US,chat
"",2025-01-14 10:03:53,Los Angeles,US,,en_US,chat
2025-01-14 09:51:43,2025-01-14 10:03:38,Los Angeles,US,UberX,en_US,chat
2025-01-14 08:12:01,2025-01-14 08:33:58,Los Angeles,US,UberX,en_US,chat
"",2025-01-14 08:10:57,Los Angeles,US,,en_US,chat
"",2025-01-13 05:59:22,Los Angeles,US,,en_US,chat
"",2025-01-13 03:56:38,Los Angeles,US,,en_US,chat
2025-01-13 01:07:19,2025-01-13 03:56:31,Los Angeles,US,UberX,en_US,chat
"",2025-01-13 01:58:20,Los Angeles,US,,en_US,chat
"",2025-01-12 13:27:30,Los Angeles,US,,en_US,chat
"",2025-01-12 04:39:05,Los Angeles,US,,en_US,chat
2025-01-12 04:22:35,2025-01-12 04:38:53,Los Angeles,US,UberX,en_US,chat
"",2025-01-06 04:23:33,Los Angeles,US,,en_US,chat
2025-01-05 14:09:03,2025-01-06 04:23:28,Los Angeles,US,UberX,en_US,chat
"",2025-01-05 06:52:06,Los Angeles,US,,en_US,chat
"",2025-01-05 05:41:16,Los Angeles,US,,en_US,chat
"",2025-01-03 12:56:38,Los Angeles,US,,en_US,chat
2024-12-19 09:52:11,2024-12-19 10:17:56,Los Angeles,US,RIDESHARE,en_US,chat
"",2024-12-15 16:37:35,Los Angeles,US,,en_US,messaging
2024-12-14 11:46:43,2024-12-15 16:28:12,Los Angeles,US,UberX,en_US,messaging
"",2024-12-15 16:28:02,Los Angeles,US,,en_US,phone
"",2024-12-15 13:35:44,Los Angeles,US,,en_US,messaging
"",2024-12-15 13:32:53,Los Angeles,US,,en_US,chat
"",2024-12-15 13:29:15,Los Angeles,US,,en_US,chat
"",2024-12-15 13:23:47,Los Angeles,US,,en_US,chat
"",2024-12-15 13:23:13,Los Angeles,US,,en_US,chat
"",2024-12-15 13:23:03,Los Angeles,US,,en_US,chat
2024-11-02 07:47:52,2024-11-02 19:13:52,Los Angeles,US,UberX,en_US,chat
2024-11-02 07:47:52,2024-11-02 19:12:03,Los Angeles,US,UberX,en_US,chat
