City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Los Angeles,Detroit Pizza Depot − Hollywood,2024-11-07T12:51:27.000Z,2024-11-07T14:21:45.000Z,completed,Boneless Chicken Wings (16oz),1,Frank's Red Hot,0.0,"",12.99,36.24,USD
Los Angeles,Detroit Pizza Depot − Hollywood,2024-11-07T12:51:27.000Z,2024-11-07T14:21:45.000Z,completed,Chipotle Chili Aioli,1,"",,"",1.7,36.24,USD
Los Angeles,Detroit Pizza Depot − Hollywood,2024-11-07T12:51:27.000Z,2024-11-07T14:21:45.000Z,completed,The Detroiter,2,4-Corner Pizza (Serves 1-2),0.0,"",39.98,36.24,USD
Los Angeles,HiHo Cheeseburger (1320 2nd St),2024-11-05T21:25:07.000Z,2024-11-05T21:47:20.000Z,completed,Classic Double Cheeseburger,1,Fries,4.95,"",8.95,47.77,USD
Los Angeles,HiHo Cheeseburger (1320 2nd St),2024-11-05T21:25:07.000Z,2024-11-05T21:47:20.000Z,completed,HiHo Double Cheeseburger,1,Add Spicy Slow-Cooked Onions,1.75,"",9.95,47.77,USD
Los Angeles,HiHo Cheeseburger (1320 2nd St),2024-11-05T21:25:07.000Z,2024-11-05T21:47:20.000Z,completed,Chocolate Shake,1,Add a Straw,0.0,"",5.95,47.77,USD
Los Angeles,HiHo Cheeseburger (1320 2nd St),2024-11-05T21:25:07.000Z,2024-11-05T21:47:20.000Z,completed,Classic Double Cheeseburger,1,"",,"",8.95,47.77,USD
Los Angeles,HiHo Cheeseburger (1320 2nd St),2024-11-05T21:25:07.000Z,2024-11-05T21:47:20.000Z,completed,Classic Double Cheeseburger,1,Add Spicy Slow-Cooked Onions,1.75,"",8.95,47.77,USD
Los Angeles,McDonald's® (La-7Th & Western),2024-10-27T00:47:06.000Z,2024-10-27T01:12:32.000Z,completed,20 pc. Chicken McNuggets®,1,"Honey Mustard, Sweet N Sour Dipping Sauce, Hot Mustard Dipping Sauce",0.0,"",11.39,67.4,USD
Los Angeles,McDonald's® (La-7Th & Western),2024-10-27T00:47:06.000Z,2024-10-27T01:12:32.000Z,completed,Medium Dr Pepper®,1,Ice,0.0,"",2.89,67.4,USD
Los Angeles,McDonald's® (La-7Th & Western),2024-10-27T00:47:06.000Z,2024-10-27T01:12:32.000Z,completed,Medium French Fries,3,Salt,0.0,"",17.07,67.4,USD
Los Angeles,McDonald's® (La-7Th & Western),2024-10-27T00:47:06.000Z,2024-10-27T01:12:32.000Z,completed,Medium French Fries,3,Large French Fries,1.0,"",17.07,67.4,USD
Los Angeles,McDonald's® (La-7Th & Western),2024-10-27T00:47:06.000Z,2024-10-27T01:12:32.000Z,completed,Chicken Big Mac® Meal,1,"Shredded Lettuce, Medium Sprite®, Chicken Big Mac® Meal, Salt, Big Mac® Chicken Patty, American Cheese, Ice, Big Mac® Bun, Pickle, Mac Sauce",0.0,"",15.89,67.4,USD
Los Angeles,McDonald's® (La-7Th & Western),2024-10-27T00:47:06.000Z,2024-10-27T01:12:32.000Z,completed,Medium Coke®,1,"Straw, Ice",0.0,"",2.89,67.4,USD
Los Angeles,McDonald's® (La-7Th & Western),2024-10-27T00:47:06.000Z,2024-10-27T01:12:32.000Z,completed,Medium Coke®,1,Large Coke®,0.4,"",2.89,67.4,USD
Los Angeles,McDonald's® (La-7Th & Western),2024-10-27T00:47:06.000Z,2024-10-27T01:12:32.000Z,completed,Medium Diet Coke®,1,Ice,0.0,"",2.89,67.4,USD
Los Angeles,McDonald's® (La-7Th & Western),2024-10-27T00:47:06.000Z,2024-10-27T01:12:32.000Z,completed,Medium Diet Coke®,1,Large Diet Coke®,0.4,"",2.89,67.4,USD
Los Angeles,McDonald's® (La-7Th & Western),2024-10-27T00:47:06.000Z,2024-10-27T01:12:32.000Z,completed,Medium Dr Pepper®,1,Large Dr Pepper®,0.4,"",2.89,67.4,USD
Los Angeles,Curry Kingdom,2024-06-21T21:38:10.000Z,2024-06-21T22:03:31.000Z,completed,Butter Chicken,1,Very Hot,0.0,"",15.95,40.75,USD
Los Angeles,Curry Kingdom,2024-06-21T21:38:10.000Z,2024-06-21T22:03:31.000Z,completed,Garlic Naan,1,"",,"",4.5,40.75,USD
Los Angeles,Curry Kingdom,2024-06-21T21:38:10.000Z,2024-06-21T22:03:31.000Z,completed,Veg Samosa (2 pcs),1,"",,"",5.95,40.75,USD
Los Angeles,Curry Kingdom,2024-06-21T21:38:10.000Z,2024-06-21T22:03:31.000Z,completed,Butter Chicken,1,Basmati Rice,4.5,"",15.95,40.75,USD
Los Angeles,Alessandro's Pizza (Van Nuys),2022-09-22T00:28:34.000Z,2022-09-22T00:54:27.000Z,completed,Buffalo Sauce,1,"",,,1.0,23.76,USD
Los Angeles,Alessandro's Pizza (Van Nuys),2022-09-22T00:28:34.000Z,2022-09-22T00:54:27.000Z,completed,Create Your Own Medium Pizza,1,Pepperoni,1.75,,14.99,23.76,USD
Los Angeles,Alessandro's Pizza (Van Nuys),2022-09-22T00:28:34.000Z,2022-09-22T00:54:27.000Z,completed,Canned Soda,2,Coca-Cola,0.0,,2.5,23.76,USD
Los Angeles,Alessandro's Pizza (Van Nuys),2022-09-15T03:02:49.000Z,2022-09-15T03:33:55.000Z,completed,BBQ,1,"",,,1.0,13.14,USD
Los Angeles,Alessandro's Pizza (Van Nuys),2022-09-15T03:02:49.000Z,2022-09-15T03:33:55.000Z,completed,Buffalo Sauce,1,"",,,1.0,13.14,USD
Los Angeles,Alessandro's Pizza (Van Nuys),2022-09-15T03:02:49.000Z,2022-09-15T03:33:55.000Z,completed,Canned Soda,2,Coca-Cola,0.0,,2.5,13.14,USD
Los Angeles,Alessandro's Pizza (Van Nuys),2022-09-15T03:02:49.000Z,2022-09-15T03:33:55.000Z,completed,Create Your Own Medium Pizza,1,"Pepperoni, Jalapeno Peppers, Black Olives",1.75,,14.99,13.14,USD
Los Angeles,Alessandro's Pizza (Van Nuys),2022-08-25T00:38:22.000Z,2022-08-25T01:04:45.000Z,completed,Gatorade,1,"",,,4.25,14.77,USD
Los Angeles,Alessandro's Pizza (Van Nuys),2022-08-25T00:38:22.000Z,2022-08-25T01:04:45.000Z,completed,Buffalo Sauce,1,"",,,1.0,14.77,USD
Los Angeles,Alessandro's Pizza (Van Nuys),2022-08-25T00:38:22.000Z,2022-08-25T01:04:45.000Z,completed,Create Your Own Medium Pizza,1,"Pepperoni, Jalapeno Peppers, Black Olives",1.75,,14.99,14.77,USD
Los Angeles,All About The Bread,2022-08-05T15:56:23.000Z,2022-08-05T16:56:24.000Z,completed,Extra Hot Peppers on Side,1,"",,,0.75,26.52,USD
Los Angeles,All About The Bread,2022-08-05T15:56:23.000Z,2022-08-05T16:56:24.000Z,completed,Turkey Club Sandwich,1,Small,0.0,,12.95,26.52,USD
Los Angeles,All About The Bread,2022-08-05T15:56:23.000Z,2022-08-05T16:56:24.000Z,completed,Chips,1,Hawaiian Luau BBQ,0.0,,1.95,26.52,USD
Los Angeles,All About The Bread,2022-08-05T15:56:23.000Z,2022-08-05T16:56:24.000Z,completed,San Pellegrino,1,San Pellegrino - Orange,0.0,Blood orange,2.5,26.52,USD
Los Angeles,Pizza and Panini (Van Nuys),2022-08-04T01:52:15.000Z,2022-08-04T02:23:54.000Z,completed,Buffalo,1,"",,,1.0,22.38,USD
