City Name,Local Amount,Currency Code,Classification,Category,Local Timestamp,year,month,day,hour,day_of_week
Los Angeles,1.17,USD,intermediary.fare.marketplace_adjustment_incentive,existing_driver_incentive,2025-02-09 04:16:38,2025,2,9,4,Sunday
Los Angeles,6.87,USD,transport.fare.coupled_upfront_fare,driver_payment_fares,2025-02-09 04:16:38,2025,2,9,4,Sunday
Los Angeles,-1.44,USD,intermediary.commission,commission,2025-02-09 04:16:38,2025,2,9,4,Sunday
Los Angeles,1.18,USD,transport.fare.ufp_adj,driver_payment_fares,2025-02-09 04:16:38,2025,2,9,4,Sunday
Los Angeles,-1.18,USD,intermediary.fare.ufp_service_adj,commission,2025-02-09 04:16:38,2025,2,9,4,Sunday
Los Angeles,14.56,USD,transport.fare.distance,driver_payment_fares,2025-02-09 03:46:02,2025,2,9,3,Sunday
Los Angeles,-3.11,USD,intermediary.fare.marketplace_adjustment_service_fee,commission_adjustment,2025-02-09 03:46:02,2025,2,9,3,Sunday
Los Angeles,0.98,USD,transport.fare.csp_adjustment,driver_payment_fares,2025-02-09 03:46:02,2025,2,9,3,Sunday
Los Angeles,-4.31,USD,intermediary.commission,commission,2025-02-09 03:46:02,2025,2,9,3,Sunday
Los Angeles,5.05,USD,intermediary.fare.ufp_incentive,existing_driver_incentive,2025-02-09 03:46:02,2025,2,9,3,Sunday
Los Angeles,0.1,USD,transport.fare.base,driver_payment_fares,2025-02-09 03:46:02,2025,2,9,3,Sunday
Los Angeles,4.62,USD,transport.fare.time,driver_payment_fares,2025-02-09 03:46:02,2025,2,9,3,Sunday
Los Angeles,-5.05,USD,transport.fare.ufp_adj,driver_payment_fares,2025-02-09 03:46:02,2025,2,9,3,Sunday
Los Angeles,0.27,USD,transport.fare.adjustment,driver_payment_fares,2025-02-09 03:46:02,2025,2,9,3,Sunday
Los Angeles,-0.9,USD,transport.fare.ufp_adj,driver_payment_fares,2025-02-09 01:30:30,2025,2,9,1,Sunday
Los Angeles,3.8,USD,transport.fare.coupled_upfront_fare,driver_payment_fares,2025-02-09 01:30:30,2025,2,9,1,Sunday
Los Angeles,0.19,USD,transport.fare.csp_adjustment,driver_payment_fares,2025-02-09 01:30:30,2025,2,9,1,Sunday
Los Angeles,0.2,USD,intermediary.fare.marketplace_adjustment_incentive,existing_driver_incentive,2025-02-09 01:30:30,2025,2,9,1,Sunday
Los Angeles,0.9,USD,intermediary.fare.ufp_incentive,existing_driver_incentive,2025-02-09 01:30:30,2025,2,9,1,Sunday
Los Angeles,-0.84,USD,intermediary.commission,commission,2025-02-09 01:30:30,2025,2,9,1,Sunday
Los Angeles,-2.09,USD,intermediary.commission,commission,2025-02-09 01:15:18,2025,2,9,1,Sunday
Los Angeles,0.48,USD,transport.fare.csp_adjustment,driver_payment_fares,2025-02-09 01:15:18,2025,2,9,1,Sunday
Los Angeles,-2.62,USD,transport.fare.ufp_adj,driver_payment_fares,2025-02-09 01:15:18,2025,2,9,1,Sunday
Los Angeles,2.62,USD,intermediary.fare.ufp_incentive,existing_driver_incentive,2025-02-09 01:15:18,2025,2,9,1,Sunday
Los Angeles,9.5,USD,transport.fare.coupled_upfront_fare,driver_payment_fares,2025-02-09 01:15:18,2025,2,9,1,Sunday
Los Angeles,0.06,USD,intermediary.fare.marketplace_adjustment_incentive,existing_driver_incentive,2025-02-09 01:15:18,2025,2,9,1,Sunday
Los Angeles,8.0,USD,transport.fare.coupled_upfront_fare,driver_payment_fares,2025-02-09 01:05:34,2025,2,9,1,Sunday
Los Angeles,2.52,USD,transport.fare.ufp_adj,driver_payment_fares,2025-02-09 01:05:34,2025,2,9,1,Sunday
Los Angeles,0.18,USD,intermediary.service_fee.ecr_guardrail_refund_US,driver_payment_fares,2025-02-09 01:05:34,2025,2,9,1,Sunday
Los Angeles,0.4,USD,transport.fare.csp_adjustment,driver_payment_fares,2025-02-09 01:05:34,2025,2,9,1,Sunday
Los Angeles,-0.27,USD,intermediary.fare.marketplace_adjustment_service_fee,commission_adjustment,2025-02-09 01:05:34,2025,2,9,1,Sunday
Los Angeles,0.01,USD,transport.fare.minimum,driver_payment_fares,2025-02-09 01:05:34,2025,2,9,1,Sunday
Los Angeles,0.01,USD,intermediary.fare.minimum_incentive_adj,driver_payment_fares,2025-02-09 01:05:34,2025,2,9,1,Sunday
Los Angeles,-2.81,USD,intermediary.commission,commission,2025-02-09 01:05:34,2025,2,9,1,Sunday
Los Angeles,-2.52,USD,intermediary.fare.ufp_service_adj,commission,2025-02-09 01:05:34,2025,2,9,1,Sunday
Los Angeles,-0.01,USD,transport.fare.minimum_adj,driver_payment_fares,2025-02-09 01:05:34,2025,2,9,1,Sunday
Los Angeles,-0.84,USD,intermediary.commission,commission,2025-02-08 23:54:08,2025,2,8,23,Saturday
Los Angeles,0.19,USD,transport.fare.csp_adjustment,driver_payment_fares,2025-02-08 23:54:08,2025,2,8,23,Saturday
Los Angeles,3.8,USD,transport.fare.coupled_upfront_fare,driver_payment_fares,2025-02-08 23:54:08,2025,2,8,23,Saturday
Los Angeles,-0.9,USD,transport.fare.ufp_adj,driver_payment_fares,2025-02-08 23:54:08,2025,2,8,23,Saturday
Los Angeles,0.16,USD,intermediary.fare.marketplace_adjustment_incentive,existing_driver_incentive,2025-02-08 23:54:08,2025,2,8,23,Saturday
Los Angeles,0.9,USD,intermediary.fare.ufp_incentive,existing_driver_incentive,2025-02-08 23:54:08,2025,2,8,23,Saturday
Los Angeles,9.99,USD,intermediary.fare.ufp_incentive,existing_driver_incentive,2025-02-08 23:13:16,2025,2,8,23,Saturday
Los Angeles,-3.7,USD,intermediary.fare.marketplace_adjustment_service_fee,commission_adjustment,2025-02-08 23:13:16,2025,2,8,23,Saturday
Los Angeles,1.61,USD,transport.fare.csp_adjustment,driver_payment_fares,2025-02-08 23:13:16,2025,2,8,23,Saturday
Los Angeles,-9.99,USD,transport.fare.ufp_adj,driver_payment_fares,2025-02-08 23:13:16,2025,2,8,23,Saturday
Los Angeles,-11.3,USD,intermediary.commission,commission,2025-02-08 23:13:16,2025,2,8,23,Saturday
Los Angeles,32.14,USD,transport.fare.coupled_upfront_fare,driver_payment_fares,2025-02-08 23:13:16,2025,2,8,23,Saturday
Los Angeles,-0.84,USD,intermediary.commission,commission,2025-02-08 23:04:26,2025,2,8,23,Saturday
Los Angeles,0.19,USD,transport.fare.csp_adjustment,driver_payment_fares,2025-02-08 23:04:26,2025,2,8,23,Saturday
Los Angeles,2.31,USD,intermediary.fare.marketplace_adjustment_incentive,existing_driver_incentive,2025-02-08 23:04:26,2025,2,8,23,Saturday
Los Angeles,0.01,USD,intermediary.fare.ufp_incentive,existing_driver_incentive,2025-02-08 23:04:26,2025,2,8,23,Saturday
Los Angeles,1.07,USD,transport.fare.distance,driver_payment_fares,2025-02-08 23:04:26,2025,2,8,23,Saturday
Los Angeles,1.58,USD,transport.fare.minimum,driver_payment_fares,2025-02-08 23:04:26,2025,2,8,23,Saturday
Los Angeles,-1.21,USD,transport.fare.adjustment,driver_payment_fares,2025-02-08 23:04:26,2025,2,8,23,Saturday
Los Angeles,0.1,USD,transport.fare.base,driver_payment_fares,2025-02-08 23:04:26,2025,2,8,23,Saturday
Los Angeles,-0.01,USD,transport.fare.ufp_adj,driver_payment_fares,2025-02-08 23:04:26,2025,2,8,23,Saturday
Los Angeles,2.26,USD,transport.fare.time,driver_payment_fares,2025-02-08 23:04:26,2025,2,8,23,Saturday
Los Angeles,0.51,USD,transport.fare.csp_adjustment,driver_payment_fares,2025-02-08 22:40:21,2025,2,8,22,Saturday
Los Angeles,-2.51,USD,transport.fare.ufp_adj,driver_payment_fares,2025-02-08 22:40:21,2025,2,8,22,Saturday
Los Angeles,-0.82,USD,intermediary.fare.marketplace_adjustment_service_fee,commission_adjustment,2025-02-08 22:40:21,2025,2,8,22,Saturday
Los Angeles,-2.23,USD,intermediary.commission,commission,2025-02-08 22:40:21,2025,2,8,22,Saturday
Los Angeles,10.1,USD,transport.fare.coupled_upfront_fare,driver_payment_fares,2025-02-08 22:40:21,2025,2,8,22,Saturday
Los Angeles,2.51,USD,intermediary.fare.ufp_incentive,existing_driver_incentive,2025-02-08 22:40:21,2025,2,8,22,Saturday
Los Angeles,0.22,USD,transport.fare.csp_adjustment,driver_payment_fares,2025-02-08 22:28:11,2025,2,8,22,Saturday
Los Angeles,1.03,USD,intermediary.fare.ufp_incentive,existing_driver_incentive,2025-02-08 22:28:11,2025,2,8,22,Saturday
Los Angeles,4.32,USD,transport.fare.coupled_upfront_fare,driver_payment_fares,2025-02-08 22:28:11,2025,2,8,22,Saturday
